train/explained_variance,parameters/mlp_extractor.policy_net.2.bias,_runtime,time/fps,gradients/action_net.bias,train/policy_gradient_loss,sr2l/update_counter,parameters/mlp_extractor.policy_net.2.weight,parameters/action_net.bias,train/clip_range,gradients/mlp_extractor.value_net.2.bias,train/clip_fraction,global_step,robot/x_position,gradients/log_std,gradients/value_net.weight,parameters/action_net.weight,_timestamp,gradients/mlp_extractor.value_net.0.weight,sr2l/current_lambda,gradients/mlp_extractor.policy_net.0.weight,parameters/mlp_extractor.value_net.2.weight,parameters/mlp_extractor.value_net.0.weight,parameters/log_std,gradients/mlp_extractor.value_net.0.bias,rollout/ep_rew_mean,gradients/mlp_extractor.policy_net.2.bias,train/std,train/value_loss,curriculum/current_phase,robot/velocity_ms,sr2l/loss,gradients/action_net.weight,parameters/mlp_extractor.value_net.2.bias,gradients/mlp_extractor.value_net.2.weight,parameters/value_net.weight,gradients/mlp_extractor.policy_net.2.weight,train/entropy_loss,rollout/ep_len_mean,gradients/value_net.bias,sr2l/smoothness_score,parameters/value_net.bias,_step,train/approx_kl,sr2l/perturbation_std,gradients/mlp_extractor.policy_net.0.bias,parameters/mlp_extractor.value_net.0.bias,parameters/mlp_extractor.policy_net.0.bias,train/learning_rate,parameters/mlp_extractor.policy_net.0.weight,sr2l/curriculum_progress,robot/height,robot/total_distance
,,8272.94158241,,,,,,,,,,5580800.0,,,,,1761516399.0373695,,8.7168e-06,,,,,,,,,,,,,,,,,,,,,,,62644,,,,,,,,,,
0.86873823,,8302.968989895,,,,,,,,,,5599232.0,,,,,1761516426.298569,,,,,,,,,,,,,,,,,,,,,,,,,62862,,,,,,,,,,
,,8443.104569837,,,,,,,,,,5697536.0,,,,,1761516571.3340416,,,,,,,,,,,0.0027994846,,,,,,,,,,,,,,63970,,,,,,,,,,
,,8488.145722942,,,,,,,,,,5726208.0,,,,,1761516613.4445574,,,,,,,,,,,,,,,,,,,,,,,,,64272,,,,,,,,,,1.7346328
,,8498.153946925,,,,,,,,,,5732352.0,,,,,1761516622.5154474,,,,,,,,,,,0.025822459,,,,,,,,,,,,,,64361,,,,,,,,,,
,,8603.239292035,,,,,,,,,,5804032.0,,,,,1761516728.274487,,,,,,,,,,,,0.0,,,,,,,,,,,,,65144,,,,,,,,,,
,,8708.325284898,,,,,,,,,,5875712.0,,,,,1761516834.134641,,,,,,,,,,,,0.0,,,,,,,,,,,,,65949,,,,,,,,,,
,,8763.367963836,,,,,,,,,,5912576.0,,,,,1761516888.2982502,,,,,,,,,,,,,,,,,,,,,,,,,66364,,,,,,,,,0.13104284,
0.94046104,,8843.432410102,,,,,,,,,,5965824.0,,,,,1761516966.7858207,,,,,,,,,,,,,,,,,,,,,,,,,66979,,,,,,,,,,
,,9063.608988684,,,,,,,,,,6115328.0,,,,,1761517187.9626448,,,,,,,,,,,,,,,,,,,,,,,,,68642,,,,,,,,,,3.318315
,,9138.673928521,,,,,,,,,,6166528.0,,,,,1761517263.353842,,,,,,,,,,0.29311508,,,,,,,,,,,,,,,69236,,,,,,,,,,
,,9238.753373907,,,,,,,,,,6234112.0,,,,,1761517363.4684377,,,,,,,,,,,,,,,,,,,,,,,0.40317476,,69985,,,,,,,,,,
,,9338.83561686,,,,49232.0,,,,,,6303744.0,,,,,1761517466.1060803,,,,,,,,,,,,,,,,,,,,,,,,,70768,,,,,,,,,,
,,9378.868789186,,,-0.017918354,,,,,,,6330368.0,,,,,1761517505.2894814,,,,,,,,,,,,,,,,,,,,,,,,,71075,,,,,,,,,,
,,9589.032814563,,,,,,,,,,6471680.0,,,,,1761517714.5344112,,,,,,,,,,,,,-0.019525995,,,,,,,,,,,,72645,,,,,,,,,,
,,9619.058570527,,,,,,,,,,6492160.0,,,,,1761517744.8816726,,,,,,,,,,,,0.0,,,,,,,,,,,,,72872,,,,,,,,,,
,,9654.088424983,676.0,,,,,,,,,6514688.0,,,,,1761517778.0577579,,,,,,,,,,,,,,,,,,,,,,,,,73138,,,,,,,,,,
0.987192,,9809.212712309,,,,,,,,,,6619136.0,,,,,1761517932.5821934,,,,,,,,,,,,,,,,,,,,,,,,,74316,,,,,,,,,,
0.99761134,,9939.31209516,,,,,,,,,,6707200.0,,,,,1761518063.369268,,,,,,,,,,,,,,,,,,,,,,,,,75305,,,,,,,,,,
,,10164.494696234,,,,,,,,,,6858752.0,,,,,1761518289.7217252,,,,,,,,,,,,,,,,,,,,-0.5770103,,,,,77006,,,,,,,,,,
0.8714544,,10239.55691396,,,,,,,,,,6909952.0,,,,,1761518365.7992432,,,,,,,,,,,,,,,,,,,,,,,,,77582,,,,,,,,,,
,,10339.637971944,,,,,,,,,,6977536.0,,,,,1761518466.05844,,,,,,,,,,,,,,,,,,,,,,,0.4355175,,78334,,,,,,,,,,
,,10404.691942335,,,,,,,,,,7020544.0,,,,,1761518529.3104923,,,,,,,,,,,,,,,,,,,,,,,,,78814,,,,,,,,0.0109664,,
,,10529.795946599,,,,,,,,,0.28072104,7104512.0,,,,,1761518653.2442644,,,,,,,,,,,,,,,,,,,,,,,,,79764,,,,,,,,,,
,,10559.81972964,,,,,,,,,,7127040.0,,,,,1761518686.4390244,,,,,,,,,,,,,,,,,,,,,1000.0,,,,80007,,,,,,,,,,
,,10599.851652367,,,,,,,,,,7153664.0,,,,,1761518725.6760957,,,,,,,,,,,,,,,,,,,,,,,,,80311,,0.01,,,,,,,,
,,10639.887058539,,,,,,,,,,7182336.0,,,,,1761518767.978391,,,,,,,,,,,,,,,,,,,,,,,,,80624,,,,,,,,,0.14301622,
0.9301131,,10815.037765587,,,,,,,,,,7299072.0,,,,,1761518940.2657437,,,,,,,,,,,,,,,,,,,,,,,,,81952,,,,,,,,,,
