global_step,parameters/mlp_extractor.policy_net.2.bias,gradients/mlp_extractor.value_net.2.weight,time/fps,train/explained_variance,_runtime,robot/height,curriculum/current_phase,parameters/value_net.weight,train/entropy_loss,train/clip_fraction,rollout/ep_len_mean,parameters/mlp_extractor.value_net.2.bias,train/clip_range,robot/velocity_ms,rollout/ep_rew_mean,gradients/action_net.weight,gradients/mlp_extractor.policy_net.2.weight,gradients/action_net.bias,gradients/mlp_extractor.value_net.0.bias,train/value_loss,parameters/action_net.bias,parameters/mlp_extractor.value_net.0.bias,train/approx_kl,train/loss,gradients/mlp_extractor.policy_net.0.weight,train/std,parameters/mlp_extractor.value_net.0.weight,gradients/mlp_extractor.policy_net.2.bias,robot/total_distance,_step,gradients/log_std,parameters/mlp_extractor.policy_net.2.weight,train/policy_gradient_loss,parameters/mlp_extractor.value_net.2.weight,_timestamp,gradients/value_net.bias,gradients/value_net.weight,gradients/mlp_extractor.value_net.2.bias,robot/x_position,parameters/log_std,train/learning_rate,parameters/mlp_extractor.policy_net.0.bias,gradients/mlp_extractor.value_net.0.weight,parameters/action_net.weight,parameters/mlp_extractor.policy_net.0.weight,gradients/mlp_extractor.policy_net.0.bias,parameters/value_net.bias
3284992.0,,,,,4564.67865143,,,,,,,,0.2,,,,,,,,,,,,,,,,,28854,,,,,1761512689.2774143,,,,,,,,,,,,
3401728.0,,,,,4724.799537628,0.13572544,,,,,,,,,,,,,,,,,,,,,,,,29871,,,,,1761512850.560844,,,,,,,,,,,,
3571712.0,,,723.0,,4959.976397037,,,,,,,,,,,,,,,,,,,,,,,,,31371,,,,,1761513085.9371712,,,,,,,,,,,,
3846144.0,,,,,5340.270992613,,,,,,,,,,,,,,,,,,,,,,,,0.78170687,33778,,,,,1761513464.9862797,,,,,,,,,,,,
3883008.0,,,,,5390.309302166,,,,,,,,,,,,,,,,,,0.021763882,,,,,,,34108,,,,,1761513515.8260946,,,,,,,,,,,,
3913728.0,,,,,5430.339582958,0.15350397,,,,,,,,,,,,,,,,,,,,,,,,34371,,,,,1761513558.4546957,,,,,,,,,,,,
3991552.0,,,,,5540.423371795,,,,,0.13515624,,,,,,,,,,,,,,,,,,,,35063,,,,,1761513666.1624577,,,,,,,,,,,,
4110336.0,,,,,5705.554624757,,,,,,,,,,,,,,,,,,,-0.025123756,,,,,,36112,,,,,1761513830.772014,,,,,,,,,,,,
4259840.0,,,,,5910.710283022,,,,,,,,,,,,,,,,,,,,,0.43337083,,,,37428,,,,,1761514038.0648623,,,,,,,,,,,,
4308992.0,,,,,5980.763998479,,,,,0.22363281,,,,,,,,,,,,,,,,,,,,37853,,,,,1761514106.2183707,,,,,,,,,,,,
4558848.0,,,,,6326.033020906,,,,,,,,,,,,,,,,,,,,,,,,7.3000584,40042,,,,,1761514451.4819074,,,,,,,,,,,,
4667392.0,,,,,6476.143430206,,,,,,,,,,265699.0,,,,,,,,,,,,,,,41000,,,,,1761514601.5567546,,,,,,,,,,,,
4675584.0,,,,,6486.150097142,,,,,,,,,,,,,,,,,,,,,,,,4.819889,41068,,,,,1761514612.8451443,,,,,,,,,,,,
4685824.0,,,,,6501.162020035,,,,,,,,,,,,,,,,,,0.019519806,,,,,,,41164,,,,,1761514626.934238,,,,,,,,,,,,
