parameters/mlp_extractor.policy_net.2.bias,rollout/ep_rew_mean,gradients/mlp_extractor.value_net.0.bias,curriculum/current_phase,gradients/mlp_extractor.value_net.0.weight,train/value_loss,gradients/value_net.weight,_step,gradients/mlp_extractor.policy_net.0.bias,rollout/ep_len_mean,train/explained_variance,robot/velocity_ms,parameters/mlp_extractor.policy_net.0.bias,parameters/action_net.weight,gradients/mlp_extractor.policy_net.0.weight,train/entropy_loss,parameters/action_net.bias,parameters/value_net.weight,gradients/log_std,parameters/mlp_extractor.value_net.2.weight,train/clip_fraction,parameters/mlp_extractor.policy_net.0.weight,parameters/value_net.bias,parameters/mlp_extractor.policy_net.2.weight,train/std,gradients/mlp_extractor.policy_net.2.bias,gradients/mlp_extractor.value_net.2.weight,gradients/mlp_extractor.value_net.2.bias,train/clip_range,gradients/action_net.weight,time/fps,_runtime,_timestamp,robot/total_distance,train/policy_gradient_loss,gradients/mlp_extractor.policy_net.2.weight,parameters/mlp_extractor.value_net.0.weight,train/learning_rate,gradients/value_net.bias,global_step,parameters/mlp_extractor.value_net.0.bias,robot/x_position,train/approx_kl,parameters/mlp_extractor.value_net.2.bias,robot/height,parameters/log_std,gradients/action_net.bias
,,,,,,,21500,,,,,,,,,,,,,,,,,,,,,,,,3792.350293351,1759265175.7451563,,,,,,,2592768.0,,0.045216806,,,,,
,,,,,0.04497092,,21801,,,,,,,,,,,,,,,,,,,,,,,,3842.38470912,1759265226.502789,,,,,,,2627584.0,,,,,,,
,,,,,,,22135,,,,,,,,,,,,,,,,,,,,,0.15,,,3902.42920344,1759265285.8896441,,,,,,,2668544.0,,,,,,,
,,,,,,,22140,,,,,,,,,,,,,,,,,1.0890968,,,,,,,3902.42932485,1759265285.8939624,,,,,,,2668544.0,,,,,,,
,,,,,,,23310,,,0.8332454,,,,,,,,,,,,,,,,,,,,,4107.565313566,1759265491.6435146,,,,,,,2809856.0,,,,,,,
,,,,,,,23715,,,,,,,,,,,,,0.0017903646,,,,,,,,,,,4177.613157281,1759265563.150383,,,,,,,2859008.0,,,,,,,
,,,,,,,23776,,,,,,,,,,,,,,,,,,,,,,,,4192.622357738,1759265575.1567013,0.45652908,,,,,,2867200.0,,,,,,,
,,,,,,,24087,,,,,,,,,,,,,,,,,,,,,,,687.0,4247.657491356,1759265629.1232324,,,,,,,2904064.0,,,,,,,
,,,,,,,26331,,,,,,,,,,,,,,,,,,,,,,,687.0,4642.927578956,1759266025.38524,,,,,,,3174400.0,,,,,,,
,41067.484,,,,,,26721,,,,,,,,,,,,,,,,,,,,,,,,4712.974008433,1759266094.06162,,,,,,,3221504.0,,,,,,,
,,,,,0.0068226396,,27020,,,,,,,,,,,,,,,,,,,,,,,,4763.007392138,1759266144.6430252,,,,,,,3256320.0,,,,,,,
,,,,,,,27314,,,,,,,,,,,,,,,,,,,,,,,,4813.04298009,1759266198.4922163,,,,,,,3293184.0,,0.14388332,,,,,
,,,,,,,28854,,,,,,,,,,,,,,,,,,,,,,,,5083.226431986,1759266466.4757519,,-0.0043786895,,,,,3477504.0,,,,,,,
,,,,,,,29377,,,,,,,,,,,,,,,,,,,,,0.15,,,5178.291712811,1759266559.3238182,,,,,,,3540992.0,,,,,,,
,,,,,,,29871,,,,,,,,-12.546852,,,,,,,,,,,,,,,,5263.347119903,1759266645.7255597,,,,,,,3600384.0,,,,,,,
,,,,,,,30365,,,0.99073124,,,,,,,,,,,,,,,,,,,,,5348.407552892,1759266731.9242766,,,,,,,3659776.0,,,,,,,
,,,,,,,30536,,,,,,,,,,,,,,,,,,,,,,,,5378.430106222,1759266761.9168177,,,,,0.0001,,3680256.0,,,,,,,
,,,,,,,31371,,,,,,,,,,,,,,,,,1.1859272,,,,,,,5523.535837799,1759266907.3974395,,,,,,,3780608.0,,,,,,,
,,,,,,,33778,,,,,,,,,,,,,,,,,,,,,,,,5943.811827777,1759267328.124744,,,,,,,4071424.0,,,0.0038092728,,,,
,,,,,,,34108,,,,,,,,,,,,,,,,,1.1851177,,,,,,,6003.852113485,1759267384.8337688,,,,,,,4110336.0,,,,,,,
,178652.22,,,,,,34371,,,,,,,,,,,,,,,,,,,,,,,,6048.882628327,1759267432.5185058,,,,,,,4143104.0,,,,,,,
,,,,,,,35063,,,,,,,,,,,,,,,,,,,,,,,,6173.970830357,1759267555.5419583,,,,,,,4227072.0,,,,,0.142895,,
,,,,,,,36112,,,,,,,,,,,,,,,,,,,,,,,,6354.100826042,1759267737.669203,,,,,0.0001,,4352000.0,,,,,,,
,,,,,,,37428,,,,0.00014357397,,,,,,,,,,,,,,,,,,,,6584.256335297,1759267969.738283,,,,,,,4511744.0,,,,,,,
,,,,,,,37853,,,,-0.003768019,,,,,,,,,,,,,,,,,,,,6659.304504071,1759268044.426659,,,,,,,4562944.0,,,,,,,
,,,,,,,40004,,,-2.0498724,,,,,,,,,,,,,,,,,,,,,7034.55967624,1759268419.933104,,,,,,,4820992.0,,,,,,,
,,,,,0.0038646061,,40042,,,,,,,,,,,,,,,,,,,,,,,,7044.564299925,1759268425.8797045,,,,,,,4825088.0,,,,,,,
,,,,,,,41000,,1000.0,,,,,,,,,,,,,,,,,,,,,,7214.678949895,1759268596.7364826,,,,,,,4941824.0,,,,,,,
,,,,,,,41068,,1000.0,,,,,,,,,,,,,,,,,,,,,,7224.687080054,1759268608.707141,,,,,,,4950016.0,,,,,,,
,,,,,0.001028667,,41164,,,,,,,,,,,,,,,,,,,,,,,,7239.697891276,1759268623.7620494,,,,,,,4960256.0,,,,,,,
,,,,,,,41174,,,,,,,,,,,,,0.013875326,,,,,,,,,,,7244.699712522,1759268626.7388942,,,,,,,4962304.0,,,,,,,
,,,,,,,41448,,,,,,,,-13.261284,,,,,,,,,,,,,,,,7289.733781029,1759268674.9405227,,,,,,,4995072.0,,,,,,,
,,,,,,,42352,,,,,,,,,,,,,,,,,,,,,,,,7449.843885512,1759268833.917032,,-0.005523223,,,,,5103616.0,,,,,,,
,,,,,,,42783,,,,0.0029968638,,,,,,,,,,,,,,,,,,,,7529.89924128,1759268912.0180674,,,,,,,5156864.0,,,,,,,
,-1884.6619,,,,,,43194,,,,,,,,,,,,,,,,,,,,,,,,7599.947645566,1759268984.5813437,,,,,,,5206016.0,,,,,,,
,18858.848,,,,,,43500,,,,,,,,,,,,,,,,,,,,,,,,7654.982724263,1759269038.339257,,,,,,,5242880.0,,,,,,,
,,,,,0.020167274,,45669,,,,,,,,,,,,,,,,,,,,,,,,8035.256391847,1759269419.167834,,,,,,,5502976.0,,,,,,,
,,,,,,,46161,,,,,,,,,,,,,,,,,1.3216846,,,,,,,8125.319891225,1759269506.4699223,,,,,,,5562368.0,,,,,,,
,,,,,,,46929,,,,,,,,,,,,,,,,,,,,,,,,8260.412209536,1759269643.2835472,,,,,,,5656576.0,,,,,0.064243406,,
,,,,,,,47470,,,,,,,,,,,,,,,,,1.3344223,,,,,,,8350.477513512,1759269735.2012112,,,,,,,5720064.0,,,,,,,
,,,,,,,47820,,,,,,,,,,,,,,,,,,,,,,,,8415.521533862,1759269798.1380858,,,,,,,5763072.0,,,0.0014119443,,,,
,,,,,,,48554,,,,,,,,-13.742491,,,,,,,,,,,,,,,,8540.605961065,1759269926.085026,,,,,,,5851136.0,,,,,,,
,,,,,,,48616,,1000.0,,,,,,,,,,,,,,,,,,,,,,8555.616529244,1759269937.792199,,,,,,,5859328.0,,,,,,,
,,,,,0.034751058,,48950,,,,,,,,,,,,,,,,,,,,,,,,8610.886737318,1759269994.299484,,,,,,,5898240.0,,,,,,,
,49694.1,,,,,,49552,,,,,,,,,,,,,,,,,,,,,,,,8720.727656424,1759270102.1360924,,,,,,,5971968.0,,,,,,,
,,,,,,,50008,,,,0.27946746,,,,,,,,,,,,,,,,,,,,8800.785777649,1759270182.4018383,,,,,,,6027264.0,,,,,,,
,,,,,0.01356996,,50888,,,,,,,,,,,,,,,,,,,,,,,,8950.893850996,1759270333.7034101,,,,,,,6131712.0,,,,,,,
,,,,,,,51446,,,,,,,,,,,,,,,,,,,,,,,,9050.963900375,1759270432.6262527,,,,,0.0001,,6199296.0,,,,,,,
,,,,,,,51741,,,,,,,,,,,,,,,,,,,,,,,,9106.000339704,1759270486.8514445,0.24770057,,,,,,6236160.0,,,,,,,
,,,,,,,51761,,1000.0,,,,,,,,,,,,,,,,,,,,,,9106.001114101,1759270489.7301955,,,,,,,6238208.0,,,,,,,
,,,,,,,52915,,,,0.21237458,,,,,,,,,,,,,,,,,,,,9311.149495147,1759270692.5687044,,,,,,,6377472.0,,,,,,,
,,,,,,,53266,,,,,,,,,,,,,,,,,,,,,,,,9371.189628438,1759270752.6164534,,-0.0056527904,,,,,6418432.0,,,,,,,
,,,0.0,,,,54153,,,,,,,,,,,,,,,,,,,,,,,,9531.297146842,1759270912.7292407,,,,,,,6526976.0,,,,,,,
,,,,,,,54215,,,,,,,,-13.975346,,,,,,,,,,,,,,,,9536.304211627,1759270921.762568,,,,,,,6533120.0,,,,,,,
,,,,,,,55608,,,,,,,,,,,,,,,,,,,,,0.15,,,9771.463732279,1759271156.6820068,,,,,,,6701056.0,,,,,,,
,,,,,,,55905,,,,,,,,,,,,,,,,,,,,,,,,9826.499571123,1759271208.7827592,,,,,,,6737920.0,,,,,0.06425782,,
,,,0.0,,,,56244,,,,,,,,,,,,,,,,,,,,,,,,9881.538949046,1759271266.2064152,,,,,,,6778880.0,,,,,,,
,,,,,,,57386,,,,0.0012390041,,,,,,,,,,,,,,,,,,,,10076.676551281,1759271457.5640283,,,,,,,6916096.0,,,,,,,
,,,,,,,58098,,,,,,,,,,,,,,,,,,,,,,,,10196.758328471,1759271577.985407,,,,,,,7002112.0,,,,,0.064213134,,
,,,,,,,58275,,,,,,,,,,,,,,,,,,,,,,,,10221.776949974,1759271606.6123977,,,,,,,7022592.0,,,0.0016960206,,,,
,,,,,,,59734,,1000.0,,,,,,,,,,,,,,,,,,,,,,10471.953022188,1759271853.8411767,,,,,,,7198720.0,,,,,,,
,,,,,,,59738,,,,,,,,,,,,,0.033365887,,,,,,,,,,,10471.953135109,1759271853.8412113,,,,,,,7198720.0,,,,,,,
,,,,,,,60281,,,,,,,,,,,,,,,,,,,,,,,,10562.014849706,1759271945.48887,,,,,,,7264256.0,,,0.0025297063,,,,
,,,,,,,60941,,1000.0,,,,,,,,,,,,,,,,,,,,,,10672.096649179,1759272057.138878,,,,,,,7344128.0,,,,,,,
,,,,,,,61337,,,,,,,,,,,,,,,,,,,,,0.15,,,10742.141948126,1759272123.2867875,,,,,,,7391232.0,,,,,,,
,,,,,,,61658,,,,,,,,,,,,,,,,,,,,,,,,10792.177352088,1759272177.6773255,,,,,,,7430144.0,,,0.0007371528,,,,
,,,,,,,61800,,,,,,,,,,,,,,,,,,,,,,,,10817.190986546,1759272200.4457502,,-0.004338869,,,,,7446528.0,,,,,,,
,,,0.0,,,,61939,,,,,,,,,,,,,,,,,,,,,,,,10842.207198778,1759272226.4813864,,,,,,,7464960.0,,,,,,,
,,,,,,,62588,,,,-0.0039057962,,,,,,,,,,,,,,,,,,,,10952.279014019,1759272335.5525885,,,,,,,7542784.0,,,,,,,
,,,,,,,62644,,,,,,,,,,,,,,,,,,,,,,,,10962.286561663,1759272344.237803,,,,,,,7548928.0,,,0.0026335376,,,,
,,,,,,,62862,,1000.0,,,,,,,,,,,,,,,,,,,,,,10997.31032412,1759272381.4002092,,,,,,,7575552.0,,,,,,,
,54666.668,,,,,,63492,,,,,,,,,,,,,,,,,,,,,,,,11102.384078863,1759272487.2608407,,,,,,,7651328.0,,,,,,,
,,,,,,,63970,,,,,,,,,,,,,,,,,,,,,,,,11182.434063341,1759272567.3434117,,,,,,,7708672.0,,,0.0023414642,,,,
,,,,,,,64272,,,,,,,,,,,,,,,,,,,,,,,,11237.471857797,1759272618.7191339,,,,,,,7745536.0,,-0.08379586,,,,,
,,,,,,,64361,,,,,,,,,,,,,,,,,,,,,,,,11247.478620121,1759272632.939085,,,,,,,7755776.0,,,0.0031734677,,,,
,,,,,,,65144,,,,,,,,,,,,,0.024820965,,,,,,,,,,,11382.569132713,1759272763.7567391,,,,,,,7849984.0,,,,,,,
,,,,,,,65329,,,,,,,,,,,,,,,,,,,,,,,691.0,11412.588311729,1759272795.1149888,,,,,,,7872512.0,,,,,,,
,,,,,,,65949,,,,,,,,,,,,,,,,,1.4753402,,,,,,,11512.660669831,1759272897.85033,,,,,,,7946240.0,,,,,,,
,,,,,,,66364,,1000.0,,,,,,,,,,,,,,,,,,,,,,11587.711966582,1759272969.2286665,,,,,,,7997440.0,,,,,,,
,,,,,,,66979,,,,,,,,,,,,,,,,,,,,,,,,11687.781147595,1759273072.4141958,,,,,,,8071168.0,,,0.0017825118,,,,
,,,,,,,68642,,1000.0,,,,,,,,,,,,,,,,,,,,,,11967.969969922,1759273351.5645294,,,,,,,8271872.0,,,,,,,
,,,,,,,69236,,,,,,,,,,,,,,,,,,,,,,,,12068.036737012,1759273451.5103137,,,,,,,8343552.0,,4.9244084,,,,,
,,,,,,,69985,,1000.0,,,,,,,,,,,,,,,,,,,,,,12193.12211767,1759273577.2926857,,,,,,,8433664.0,,,,,,,
,76868.016,,,,,,70768,,,,,,,,,,,,,,,,,,,,,,,,12328.210232499,1759273709.431136,,,,,,,8527872.0,,,,,,,
,,,,,,,71015,,,,,,,,,,,,,,,,,1.5276662,,,,,,,12368.233578075,1759273749.737348,,,,,,,8556544.0,,,,,,,
,,,,,,,71075,,,,,,,,,,,,,,,,,,,,,,,693.0,12378.24015191,1759273761.2082026,,,,,,,8564736.0,,,,,,,
,,,,,0.0017719578,,71237,,,,,,,,,,,,,,,,,,,,,,,,12403.259694942,1759273787.10185,,,,,,,8583168.0,,,,,,,
,,,,,,,71477,,,,,,,,,,,,,,,,,,,,,,,,12448.285605276,1759273829.9441752,,,,,,,8613888.0,,,,,0.14733209,,
,,,,,,,72645,,,,,,,,,,,,,,,,,,,,,,,,12643.42419182,1759274025.2622013,,,,,0.0001,,8753152.0,,,,,,,
,,,,,,,72872,,,,,,,,,,,,,,,,,,,,,,,,12683.451245633,1759274065.4026868,5.6095715,,,,,,8781824.0,,,,,,,
,,,,,,,73138,,,,,,,,,,,,,,,,,,,,,,,,12723.480960686,1759274108.2999117,,,,,0.0001,,8812544.0,,,,,,,
,,,,,,,74316,,,,,,,,,,,,,,,,,,,,,,,,12928.622040789,1759274309.277801,,,,,,,8955904.0,,,,,0.06425179,,
,,,,,,,75305,,,,,,,,,,,,,,,,,,,,,,,,13093.72741711,1759274477.6066787,,,,,,,9074688.0,,-0.10930709,,,,,
,,,,,,,77006,,1000.0,,,,,,,,,,,,,,,,,,,,,,13383.920058592,1759274766.408771,,,,,,,9279488.0,,,,,,,
,,,,,,,77582,,,,-0.19015375,,,,,,,,,,,,,,,,,,,,13478.986186123,1759274864.5227711,,,,,,,9349120.0,,,,,,,
,,,,,,,78334,,,,,,,,,,,,,,,,,,,,,,,694.0,13609.07683353,1759274990.821354,,,,,,,9439232.0,,,,,,,
