parameters/log_std,parameters/mlp_extractor.value_net.2.bias,robot/x_position,gradients/mlp_extractor.policy_net.0.weight,gradients/value_net.weight,gradients/mlp_extractor.policy_net.2.weight,parameters/mlp_extractor.value_net.0.weight,train/std,gradients/action_net.weight,_step,global_step,train/entropy_loss,parameters/mlp_extractor.policy_net.2.bias,parameters/value_net.bias,curriculum/current_phase,gradients/action_net.bias,train/clip_range,train/learning_rate,train/value_loss,parameters/value_net.weight,gradients/mlp_extractor.value_net.2.bias,parameters/mlp_extractor.policy_net.2.weight,gradients/mlp_extractor.value_net.2.weight,gradients/mlp_extractor.value_net.0.weight,gradients/mlp_extractor.policy_net.0.bias,_runtime,robot/height,train/clip_fraction,parameters/mlp_extractor.value_net.0.bias,parameters/mlp_extractor.policy_net.0.bias,rollout/ep_rew_mean,robot/total_distance,parameters/mlp_extractor.value_net.2.weight,parameters/action_net.bias,parameters/mlp_extractor.policy_net.0.weight,gradients/mlp_extractor.policy_net.2.bias,time/fps,robot/velocity_ms,train/explained_variance,gradients/mlp_extractor.value_net.0.bias,train/approx_kl,rollout/ep_len_mean,_timestamp,gradients/value_net.bias,train/loss,gradients/log_std,parameters/action_net.weight,train/policy_gradient_loss
,,,,,,,,,28854,3284992.0,,,,,,0.15,,,,,,,,,4677.47625634,,,,,,,,,,,,,,,,,1758561849.685061,,,,,
,,,,,,,,,29871,3401728.0,,,,,,,,,,,,,,,4842.608045842,0.06424343,,,,,,,,,,,,,,,,1758562016.6968732,,,,,
,,,,,,,,,31371,3571712.0,,,,,,,,,,,,,,,5082.791186478,,,,,,,,,,,703.0,,,,,,1758562259.3031075,,,,,
,,,,,,,,,33778,3846144.0,,,,,,,,,,,,,,,5478.082062053,,,,,,0.25381595,,,,,,,,,,,1758562651.4586875,,,,,
,,,,,,,,,34108,3883008.0,,,,,,,,,,,,,,,5528.120746333,,,,,,,,,,,,,,,0.006565444,,1758562704.173265,,,,,
,,,,,,,,,34371,3913728.0,,,,,,,,,,,,,,,5573.150438169,0.06424728,,,,,,,,,,,,,,,,1758562748.385158,,,,,
,,,,,,,,,35063,3991552.0,,,,,,,,,,,,,,,5683.23681806,,0.014567058,,,,,,,,,,,,,,,1758562859.7755516,,,,,
,,,,,,,,,36112,4110336.0,,,,,,,,,,,,,,,5853.359584852,,,,,,,,,,,,,,,,,1758563028.7252672,,-0.065680996,,,
,,,,,,,1.1318173,,37428,4259840.0,,,,,,,,,,,,,,,6068.529486403,,,,,,,,,,,,,,,,,1758563241.3315828,,,,,
,,,,,,,,,37853,4308992.0,,,,,,,,,,,,,,,6138.586717204,,0.06131999,,,,,,,,,,,,,,,1758563311.815609,,,,,
,,,,,,,,,40042,4558848.0,,,,,,,,,,,,,,,6493.859300143,,,,,,7.40727,,,,,,,,,,,1758563669.087157,,,,,
,,,,,,,,,41000,4667392.0,,,,,,,,,,,,,,,6648.973060882,,,,,17476.78,,,,,,,,,,,,1758563823.5775824,,,,,
,,,,,,,,,41068,4675584.0,,,,,,,,,,,,,,,6658.981644505,,,,,,4.4780626,,,,,,,,,,,1758563835.2200124,,,,,
,,,,,,,,,41164,4685824.0,,,,,,,,,,,,,,,6673.992957428,,,,,,,,,,,,,,,0.0059479983,,1758563849.7491775,,,,,
